"no";"title";"descr";"year";"imgLink";"genre"
20;"나 없는 내 인생";"스물 셋에 찾아온 (나 없는 내 인생) 스물 셋, 어느 날 아침 모든 것이 멈춰 버렸다 죽기 전에 하고 싶은 10가지  17살, 너바나의 마지막 콘서트에서 만난 남편 첫 키스를 하고 첫 사랑을 나누고 첫 아이를 낳았다. 앤(사라 폴리), 23살. 6살, 4살 된 두 딸과 일년의 반 이상은 실직 상태인 남편과 함께 친정 엄마 마당 한구석에 있는 트레일러에서 살고 있다. 그녀는 낮에는 한번도 가본 적 없는 대학의 야간 청소부. 부유하지도 않은 매일 반복되는 지루한 일상이지만, 하루하루 작은 행복에 만족하며 살아간다. 23살이 막 지난 어느 날 아침, 설거지를 하던 중 갑작스런 복통으로 쓰러진다. 셋째 아이를 기대했던 앤에게 날아든 청천벽력 같은 선고. 자궁암 말기. 남은 시간은 겨우 2달.  시한부 인생을 선고 받은 앤은 충격을 받지만 치료를 거부하고 자신의 운명을 받아들인다. 가족 누구에게도 자신의 죽음을 알리지 않고 혼자서 삶을 정리하기로 한 것. 가장 먼저 앤은 죽기 전에 하고 싶은, 해야만 하는 10가지 리스트를 만든다. 나 없는 내 인생을 후회하지 않기 위해.  차츰 하고 싶은 일들, 해야 할 일들을 하면서 주변을 정리해 나가는 앤. 시간이 얼마 남지 않은 앤에게 어느 날, 마음에 깊은 상처를 가진 리(마크 러팔로)가 다가온다. 서로의 상처를 어루만지는 두 사람. 결국 리는 앤에게 사랑을 고백하지만, 그녀에게 남겨진 시간은 많지 않다. 조용히 그리고 천천히... 앤에게 죽음의 그림자가 다가오는데... 당신이 나에 대해서 모든걸 알았다면, 날 사랑하지 않았을 지도 몰라. 아냐, 모든 걸 알았더라도 날 사랑했겠지...";"2003-03-07";"https://image.tmdb.org/t/p/original/9Fa7tCEKIha1llGH7E41mxSpaF6.jpg";"[18,10749]"
22;"캐리비안의 해적: 블랙펄의 저주";"잭 스패로우는 10년 전의 반란 사건으로 자신의 배 블랙펄을 빼앗긴 해적 선장이다. 혼자 대양을 떠돌던 그는 자메이카의 로열포트에 이르러 유령선처럼 변해버린 블랙펄과 재회하게 된다. 아즈텍의 황금을 훔친 블랙펄의 선원들은 영원히 죽지 못하는 저주에 걸린 처지. 보물을 모두 제자리에 돌려놓고 피의 제물을 바쳐야만 고대 신들이 내린 저주를 풀 수 있다. 그들은 로열포트를 습격해 아즈텍의 마지막 목걸이를 가진 총독의 딸 엘리자베스를 납치하고, 엘리자베스를 사랑하는 어린 시절 친구 윌과 스패로우는 그 뒤를 쫓는데...";"2003-07-09";"https://image.tmdb.org/t/p/original/3ovejwQO4fKOWx4VgGBJeT8CKCn.jpg";"[12,14,28]"
24;"킬 빌: 1부";"어느 한적한 오후, 행복한 결혼식을 앞둔 더 브라이드와 그녀의 신랑, 그리고 모든 하객들이 의문의 조직에 의해 처참하게 살해당한다. 그로부터 5년 후, 코마상태의 더 브라이드는 죽음 직전까지 갔다가 어렵게 깨어난다. 그리고 피로 얼룩진 과거가 그녀의 뇌리에 스치면서 서서히 복수의 리스트를 작성하기 시작한다. 그녀는 전세계적으로 악명높은 살인조직 데들리 바이퍼의 일원이었고, 조직의 보스인 빌을 포함한 5명의 일원이 새로운 삶을 앞둔 그녀를 처참하게 무너뜨렸음이 밝혀지자, 그녀는 텍사스, 멕시코, 일본을 방문하며 가장 잔인한 복수를 실행하게 되는데...";"2003-10-10";"https://image.tmdb.org/t/p/original/lH82lk837fACeVZUmqHH0UiEeWL.jpg";"[28,80]"
25;"자헤드: 그들만의 전쟁";"1990년 여름, 20세의 젊은 해병대원 안소니 스워포드는 실제 훈련 중에 총상으로 사망자까지 발생하는 지옥과도 같은 해병대 훈련소 생활을 마치고 걸프전을 위해 사우디 아라비아의 사막에 저격병으로 투입된다. 진정한 이유도 모른 채 마주하게 한 이라크 군들과의 대치가 이어지는 가운데,  지루한 일상과 살인적인 더위, 어디서 어떻게 적이  나타날지 모르는 막막한 사막을 지켜야 하는 긴장감은 커져만 간다. 공허한 환경 속에서 안소니와 동료 해병 대원들은 그들이 왜 그곳에 있어야 하는지를 완전히 이해 못한 채 냉소적인 마음과 행동으로 변해가며며 심경의 변화와 갈등을 경험하게 되는데...";"2005-11-04";"https://image.tmdb.org/t/p/original/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg";"[18,10752]"
27;"나인 송즈";"미국에서 온 교환 학생 리사와 영국인 매트는 한눈에 서로 사랑에 빠진다. 21살 리사의 매트에 대한 사랑은 격정적이며 정열적이다. 9번의 공연 실황 장면과 그들이 나누는 아홉 번의 사랑. 흔히 젊은 연인들이 그러하듯이, 이들은 사랑하지만, 미래를 이야기 하지 않는다. 9번의 공연이 끝난 후, 리사는 크리스마스를 앞두고 미국으로 돌아가겠다며 매트에게 기약없는 작별을 고하는데...";"2004-05-16";"https://image.tmdb.org/t/p/original/tWkyDY78MAtemlCLJNQmlXUo1Iu.jpg";"[18,10402,10749]"
28;"지옥의 묵시록";"미 특수부대의 윌라드 대위는 고향에 돌아갔다가 아내가 내민 이혼장에 도장을 찍고, 다시 정글로 돌아온다. 혼돈과 막연한 갈망에 시달리던 윌라드에게 떨어진 임무는 캄보디아에 자신의 왕국을 건설한 커츠 대령을 암살하라는 것.  커츠 대령은 한때 가장 뛰어난 군인으로 인정받았으나 미국의 통제를 벗어나 캄보디아에서 독자적인 왕국을 거느리고 있다. 윌라드 대위는 4명의 병사들과 함께 커츠 대령을 찾아 나선다. 폭염과 광기로 가득한 전투를 겪으면서 두려움과 공포로 이성을 잃어가던 그들은 마침내 커츠 대령의 왕국에 도착한다. 그리고 그곳에서 윌라드 대위는 상상을 초월하는 진실을 마주하게 되는데...";"1979-08-15";"https://image.tmdb.org/t/p/original/giP5yeJBrsqglkM05pbiTyRsoBa.jpg";"[18,10752]"
33;"용서받지 못한 자";"늙은 총잡이 빌 머니(클린트 이스트우드)는 아내 없이 자식들과 돼지를 키우며 어렵게 산다. 어느 날 두 총잡이가 창녀의 얼굴을 흉하게 만드는 사건이 일어난다. 보안관 리틀 빌 대거트(진 핵크만)는 약간의 벌금으로 범인들을 풀어주고, 이에 분개한 창녀들은 현상금을 걸어 총잡이 악당들을 잡고자 한다. 젊은 총잡이 스코필드(제임스 울벳)는 현상금을 위해 머니에게 협조를 구한다.머니는 오랜 동료인 레드 로건(모건 프리먼)까지 합세해 함께 떠난다. 보안관 빌은 총잡이들의 말썽을 막으려다 머니의 동료가 보안관 일행에 의해 죽는다. 머니는 복수를 결심하고 보안관과의 싸움을 시작하는데...";"1992-08-07";"https://image.tmdb.org/t/p/original/zOakf3YmoeT5VPCF8IeKluDqAZa.jpg";"[37]"
35;"심슨 가족: 더 무비";"평화로운 마을 스프링필드, 호머, 마지, 바트, 리사, 매기 심슨 가족은 매일매일 사건사고 속에도 나름(?) 행복하게 살아간다. 바트와 함께 간 식당에서 우연히 새끼돼지와 운명적인 사랑에 빠진 호머 심슨. 그러나 이 돼지, 변을 너무 많이 싼다. 돼지 변을 버리러 나간 호머, 도넛을 공짜로 준다는 말에 정신을 잃고 그만 돼지변을 호수에 버리고 마는 데, 사건은 이제부터 커진다. 천 개의 눈을 가진 물고기가 생겨나고, 돌연변이 개구리가 스프링필드를 휘젓고 다니고, 스프링필드마저 호수로 인해 오염된다. 슈왈제너거 대통령은 스프링필드 봉쇄 명령을 내리고, 스프링필드를 커다란 돔 안에 가둬버린다. 하지만 심슨가족은 알래스카로 튀어버렸다. 호머, 스프링필드를 이대로 놔둘 셈이야? 스프링필드를 구해줘, 호머 심슨!!";"2007-07-25";"https://image.tmdb.org/t/p/original/ibamiFS4ifL7jtMfi5yDoPERC6p.jpg";"[16,35,10751]"
38;"이터널 선샤인";"조엘은 아픈 기억만을 지워준다는 라쿠나사를 찾아가 헤어진 연인 클레멘타인의 기억을 지우기로 결심한다. 기억이 사라져 갈수록 조엘은 사랑이 시작되던 순간, 행복한 기억들, 가슴 속에 각인된 추억들을 지우기 싫어지기만 하는데... 당신을 지우면 이 아픔도 사라질까요? 사랑은 그렇게 다시 기억된다.";"2004-03-19";"https://image.tmdb.org/t/p/original/6HNRo7VYpvM5x5O921bEF2BG7f4.jpg";"[878,18,10749]"
55;"아모레스 페로스";"'Love Is Betrayal' - 옥타비오와 수잔나. 형수인 수잔나를 사랑하는 옥타비오는 형의 행패를 참지 못하고, 수잔나와 고향을 떠나기로 결심한다. 여비 마련을 위해 애견 코피를 투견 판에 내보내 돈을 모으지만, 수잔나는 형과 함께 모아놓은 돈을 가지고 사라지고, 투견 판에서 옥타비오에게 연패를 당한 갱단의 음모에 휘말리게 되는데...  'Love Is Selfishness' - 다니엘과 발레리아. 유부남 다니엘은 가족을 떠나 유명모델 발레리아와 새 보금자리를 꾸민다. 이사를 축하하는 날, 발레리아는 치명적인 교통사고를 당해 다리를 다친다. 그러던 중 발레리아의 개 리치가 마루바닥에 갇히자, 발레리아는 점점 히스테릭 해지고, 다리 상태는 심하게 악화된다. 다니엘과 발레리아 둘은 사랑의 환멸과 절망을 떠맡을 수 밖에 없는 운명에 처한다.  'Love Is Hope' - 엘 치보와 마루. 엘 치보는 과거 공산주의 게릴라였고, 수 년간 감옥생활을 지낸 후, 삶에 회의를 느끼고 살인청부업자가 된다. 전처의 죽음을 우연히 알게 되면서 잊고 지냈던 딸 마루에 대한 사랑과 회한으로 그녀 주위를 맴돌던 중, 또 다른 살인청부를 의뢰 받는다. 한 편, 끔찍한 교통사고현장에서 옥타비오의 개 코피를 발견하고, 몰래 데려와 치료를 해주는데.";"2000-06-16";"https://image.tmdb.org/t/p/original/oolIGEBtiuDvtQDg9SEH2nmRReY.jpg";"[18,53]"
58;"캐리비안의 해적: 망자의 함";"잭 스패로우는 블랙펄을 되찾아 포트 로열을 떠났지만 그를 기다리는 것은 수평선만이 아니었다. 유령선 플라잉 더치맨의 선장 데이비 존스는 잭이 자신에게 피로 진 빚이 있다면서 빚을 갚거나 영혼을 내놓으라고 요구한다. 불행 중 다행한 것은 잭에게 피의 빚 외에도 중매의 은총이 있었다는 것. 결혼을 앞둔 윌 터너와 엘리자베스 스완은 만사를 제쳐두고 옛 친구를 도우러 온다. 잭을 구할 수 있는 단 한 가지 방법은 세상 끝에 있다는 망자의 함을 찾는 것 뿐인데...";"2006-07-06";"https://image.tmdb.org/t/p/original/6tD4oT7C01aZLVfoZDz5VFVbJCi.jpg";"[12,14,28]"
59;"폭력의 역사";"가정적이고 친절한 남자 톰(비고 모텐슨)은 어느 날 그가 운영하던 작은 식당에 들이닥친 파산 직전의 살인자들를 죽이고, 사람을 구한 일로 일약 마을의 영웅이 되어 매스컴에 대서특필된다. 그러나 며칠 후, 거대 갱단의 두목 포가티(에드 해리스)가 찾아와 그의 진짜 정체는 따뜻한 가장 톰이 아닌 자신의 적 킬러 조이라며 가족을 위협한다. 아내 에디(마리아 벨로)와 아이들 역시 톰에게서 문득문득 보이는 조이의 모습에 두려움을 느끼며 점점 그를 멀리하고, 마침내 포가티는 톰의 집에 총을 들고 들이닥치는데...";"2005-09-23";"https://image.tmdb.org/t/p/original/76e6VadQglaSRPKSfgFbQauODm4.jpg";"[18,53,80]"
62;"2001 스페이스 오디세이";"인류에게 문명의 지혜를 가르쳐 준 검은 돌기둥의 정체를 밝히기 위해서 디스커버리호의 선장 보우만(케어 둘리아)과 승무원 풀(게리 룩우드)는 목성을 향해서 날아간다. 하지만 평온하던 디스커버리호에 갑자기 재난이 찾아온다. 우주선 내부에서 일어난 재난은 컴퓨터 할(더글러스 레인)이 반란을 일으킨 것. 할은 풀을 우주선 밖으로 던져버리고, 보우만까지도 모선 밖으로 끌어내지만 그는 필사의 노력으로 할을 제압한다. 보우만은 마침내 목성 궤도에서 문제의 검은 돌기둥을 발견하지만, 그 순간 우주의 급류에 휘말리게 된다. 보우만은 지구로의 귀환을 위해 노력하고, 신비한 시간의 흐름을 경험하는데...";"1968-04-02";"https://image.tmdb.org/t/p/original/fTzcVo738Ys88FPVG987TH4aJKt.jpg";"[878,9648,12]"
63;"12 몽키즈";"서기 2035년, 미래의 인류는 바이러스 감염으로 인해 99%가 멸망하고 소수의 생존자들은 지상에서의 생활을 포기한 채 지하 세계에서 생활하게 된다. 감옥에 수감되어 있는 제임스 콜(브루스 윌리스)은 과학자들의 사면 제의를 받고 바이러스가 퍼지게 된 1996년으로 보내진다. 그러나 착오로 인해 1990년으로 보내지고 그곳에서 정신 병원에 수감된다. 그는 곧 인류가 바이러스에 의해 멸망할 것이라고 설득하지만 아무도 그의 말을 믿으려 하지 않는데, 그의 담당의사인 캐서린 레일리(매들린 스토우) 박사는 그를 치료하면서 어디서 본 것 같은 느낌을 갖는다.";"1995-12-29";"https://image.tmdb.org/t/p/original/6bSEAb5YOeEKW0lbki7bFCv6Zdh.jpg";"[878,53,9648]"
65;"8 마일";"디트로이트의 소외받은 계층은 생존 그 자체가 삶의 목적이다. 이러한 계층, 특히 빈민 흑인들에게 힙합은 탈출구이자 삶의 에너지이다. 지미 스미스 주니어에게도 힙합은 유일한 출구이자 그를 지탱해주는 에너지이다. 결손 가정에서 살고 있는 지미는 그의 친구들과 그들만의 가족을 이룬다. 그리고 그들은 언젠가 성공하리라는, 이 암울한 현실로부터 탈출 하리라는 희망을 가지고 있다. 그들은 밤이면 디트로이트의 힙합 클럽에 모여 그들의 꿈을 키운다. 힙합 클럽에서는 디트로이트 최고의 래퍼들이 모여 밤마다 랩 배틀에 참가한다.";"2002-11-08";"https://image.tmdb.org/t/p/original/kXp7hPhGWy38jnkg3ZSxewwfktl.jpg";"[10402,18]"
68;"브라질";"연도를 알 수 없는 미래. 정보화로 인해 모든 것이 획일화된 사회에서 샘 로우리는 지극히 평범하고 심심한 삶을 살고 있다. 정보국에서 서기로 일하고 있는 말단 관리인 샘은 꿈속에서 중세의 기사가 되어 하늘을 날며, 아름다운 여인을 구해내곤 한다. 어느 날 정보국 직원의 실수로 터틀이란 테러범을 잡는다는 것이 버틀이란 무고한 시민의 생명을 빼앗는 일이 되어 버리고, 샘은 그의 가족들에게 보상금을 지급하는 임무를 맡게 된다. 그 곳에서 그는 꿈 속의 여인인 질을 만나게 된다. 꿈속에서와 달리 그녀는 거친 트럭 운전수이자 반정부주의자였는데...";"1985-02-20";"https://image.tmdb.org/t/p/original/d0PibPzCK4fVikjoD1PqHovbvkt.jpg";"[35,878]"
69;"앙코르";"30세가 되기도 전에 비틀즈의 인기를 앞서고, 엘비스 프레슬리, 제리 리 루이스 등과의 어깨를 함께 했던 ‘쟈니 캐쉬’의 천재적이고 열정적인 음악 인생과 지독하게도 외롭고, 열정적이었던 그의 사랑이 아름다운 음악에 맞춰 펼쳐진다.  쟈니 캐쉬(호아킨 피닉스)는 어린 시절 부모님의 끔찍한 사랑을 받던 형이 사고로 죽은 뒤 평생을 형의 자리를 대신해 부모님의 사랑을 얻기 위해 노력하며 힘들어한다. 어린 시절부터 노래를 좋아했던 그는 작은 레코드회사에서 처음으로 자신의 앨범을 낸 뒤 순식간에 전 미국 소녀들의 우상으로 떠오르며 스타가 된다.  이미 어린 시절 첫사랑과 결혼한 유부남이었던 쟈니는 역시 가수인 준 카터(리즈 위더스푼)와 투어를 다니다 열정적인 사랑에 빠지게 되고, 이미 온갖 약물중독으로 망가질 대로 망가진 그에게 ‘준’은 ‘쟈니’를 그 자신으로부터 구해줄 수 있는 유일한 사람이 된다.";"2005-09-13";"https://image.tmdb.org/t/p/original/eV61rwiaprn2spmEvXwcSrZJh55.jpg";"[18,10402,10749]"
70;"밀리언 달러 베이비";"딸과의 관계가 소원해진 채 혼자 낡은 체육관을 운영하며 권투 선수들을 키우는 프랭키(클린트 이스트우드)에게 매기(힐러리 스웽크)가 찾아온다. 선수로 키워 달라는 말에 프랭키는 30살이 넘은 여자라는 이유로 매몰차게 거절하지만 매기는 계속 체육관에 와서 연습하길 멈추지 않는다. 선수 때 한쪽 눈을 잃고 지금은 프랭키 체육관의 청소부로 일하며 지내는 스크랩(모건 프리먼)이 조금씩 매기를 돕는다. 매기의 열의에 못이긴 척 프랭키는 트레이너가 되어 함께 경기에 나가며 점점 가까워진다. 항상 자신을 보호하라는 가르침 속에 훈련은 계속되고 마침내 챔피언 쟁탈전에 나가지만, 상대방 선수의 반칙으로 매기는 크게 다치게 되는데...";"2004-12-15";"https://image.tmdb.org/t/p/original/cVpR95l612mHCMTGwHe5BuPMQnZ.jpg";"[18]"
71;"빌리 엘리어트";"영국 북부 탄광촌에 사는 11살 소년 빌리. 매일 복싱을 배우러 가는 체육관에서 우연히 발레 수업을 보게 된 그는 토슈즈를 신은 여학생들 뒤에서 동작을 따라한다. 그에게 재능을 발견한 발레 선생님 윌킨슨 부인은 빌리에게 특별 수업을 해주고 로얄발레학교의 오디션을 보라고 권유한다. 발레는 여자들이나 하는 거라며 반대하는 아버지 몰래 신나게 춤을 추던 어느 날, 빌리는 불쑥 체육관에 찾아온 아버지와 맞닥뜨리게 되는데...";"2000-09-28";"https://image.tmdb.org/t/p/original/im9hQmEX9me7vdTE1hHqT81Wjgo.jpg";"[18,35,10402]"
73;"아메리칸 히스토리 X";"3년 전 강도 사건으로 소방수였던 아버지를 잃은 데렉은 백인 우월주의자들의 모임인 DOC에 관심을 갖게 되면서 유색인종에게 그 분노와 증오를 터트린다. 그는 혐오스러운 유색인종들을 이 땅에서 몰아내야 한다고 주장하면서 강렬한 카리스마로 동료들 사이에서 영웅이 된다. 가족들은 그런 그의 모습을 걱정하여 만류하지만, 단 한 사람, 동생 대니만은 그를 전적으로 믿고 따른다. 어느 날, 데렉에게 적대감을 품은 흑인들이 아버지의 낡은 밴을 훔치러 왔을 때 그는 서슴없이 그들에게 총을 겨눈다. 그리고는 총을 맞고 신음하는 그를 참혹하게 죽이고 마는데...";"1998-07-01";"https://image.tmdb.org/t/p/original/nm4XkYBt79ZjUQj6Rqxxzl1Wt3c.jpg";"[18]"
